"이름","전투력","협투력","속성","버스트","기업","무기","클래스","돌파","코강","호감도","스킬1","스킬2","버스트스킬","우코(%)","공증(%)","장탄(%)","크확(%)","크댐(%)","명중(%)","차댐(%)","차속(%)","방어(%)","소장품","큐브","큐브_레벨","머리_티어","머리_레벨","머리_옵1","머리_옵1값","머리_옵2","머리_옵2값","머리_옵3","머리_옵3값","몸통_티어","몸통_레벨","몸통_옵1","몸통_옵1값","몸통_옵2","몸통_옵2값","몸통_옵3","몸통_옵3값","장갑_티어","장갑_레벨","장갑_옵1","장갑_옵1값","장갑_옵2","장갑_옵2값","장갑_옵3","장갑_옵3값","다리_티어","다리_레벨","다리_옵1","다리_옵1값","다리_옵2","다리_옵2값","다리_옵3","다리_옵3값","콘솔_공용","콘솔_화력형","콘솔_방어형","콘솔_지원형","콘솔_엘리시온","콘솔_미실리스","콘솔_테트라","콘솔_필그림","콘솔_어브노멀"
"로산나","684840","29124","전격","버스트1","테트라","MG","화력형","3","7","30","7","7","7","0.00","0.00","137.86","5.71","16.44","11.81","11.81","15.00","0.00","애장품 ★☆☆","","","10","0","장탄","68.93","차속","4.92","","","10","0","차속","4.92","명중","11.81","","","10","0","차댐","11.81","장탄","68.93","차속","4.92","10","0","크확","5.71","크댐","16.44","","","370","225","224","225","228","228","228","263","220"
"엑시아","456510","22901","전격","버스트1","테트라","SR","지원형","3","4","30","4","4","6","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","애장품 ★★★","택티컬 어설트 큐브","8","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"모더니아","734336","51610","작열","버스트3","필그림","MG","화력형","3","7","40","10","10","10","87.20","21.51","145.16","3.66","7.62","0.00","0.00","0.00","0.00","SR 5","택티컬 베어 큐브","15","10","5","장탄","40.17","우코","22.15","공증","10.40","10","5","장탄","44.28","우코","22.15","","","10","5","크확","3.66","장탄","60.71","우코","22.15","10","5","크댐","7.62","공증","11.11","우코","20.75","370","225","224","225","228","228","228","263","220"
"이브","617374","36088","철갑","버스트3","어브노멀","AR","화력형","3","0","30","10","10","10","87.21","4.77","0.00","4.35","0.00","6.88","25.74","0.00","0.00","SR 5","","","10","4","명중","6.88","우코","19.35","","","10","0","차댐","11.11","우코","22.15","크확","4.35","10","0","우코","20.75","","","","","10","0","우코","24.96","차댐","14.63","공증","4.77","370","225","224","225","228","228","228","263","220"
"크로우","369019","9367","작열","버스트3","미실리스","SMG","방어형","3","5","11","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"레이븐","618847","43874","철갑","버스트3","어브노멀","RL","화력형","3","0","30","10","10","10","81.60","16.58","85.37","3.66","0.00","6.88","0.00","0.00","0.00","SR 15","","","10","5","공증","6.18","우코","22.15","","","10","1","명중","6.88","공증","10.40","우코","20.75","10","3","크확","3.66","우코","19.35","","","10","0","장탄","85.37","우코","19.35","","","370","225","224","225","228","228","228","263","220"
"루마니","686037","36864","작열","버스트1","테트라","RL","방어형","3","7","30","7","7","7","23.56","11.81","68.93","5.71","16.44","11.81","11.81","5.00","11.81","SR 5","","","10","0","크확","5.71","방어","11.81","","","10","0","장탄","68.93","공증","11.81","","","10","0","명중","11.81","크댐","16.44","","","10","0","차댐","11.81","우코","23.56","차속","4.92","370","225","224","225","228","228","228","263","220"
"솔져 F.A.","244183","7825","철갑","버스트2","엘리시온","SG","방어형","0","0","1","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0","0","","","","","","","0","0","","","","","","","0","0","","","","","","","0","0","","","","","","","370","225","224","225","228","228","228","263","220"
"베이","678479","42483","작열","버스트2","테트라","RL","방어형","3","7","30","7","7","7","23.56","11.81","0.00","17.13","0.00","0.00","11.81","5.00","11.81","애장품 ★★★","","","10","0","크확","5.71","차댐","11.81","","","10","0","크확","5.71","","","","","10","0","우코","23.56","공증","11.81","크확","5.71","10","0","차속","4.92","방어","11.81","","","370","225","224","225","228","228","228","263","220"
"치사토","586177","35385","철갑","버스트3","어브노멀","SMG","화력형","1","0","20","9","10","10","90.01","5.47","96.77","0.00","34.84","0.00","0.00","0.00","6.88","SR 5","","","10","4","장탄","36.06","우코","27.76","","","10","0","장탄","60.71","크댐","17.42","우코","19.35","10","0","크댐","17.42","우코","20.75","","","10","0","우코","22.15","방어","6.88","공증","5.47","370","225","224","225","228","228","228","263","220"
"에이다","559934","43972","전격","버스트3","어브노멀","RL","화력형","0","0","10","10","10","7","78.81","0.00","0.00","0.00","21.12","0.00","0.00","3.00","0.00","SR 15","렐릭 베어 큐브","15","10","5","크댐","11.54","우코","20.75","","","10","3","우코","23.56","","","","","10","4","우코","17.95","차속","2.57","","","10","0","크댐","9.58","우코","16.55","","","370","225","224","225","228","228","228","263","220"
"루주","694961","48922","전격","버스트1","테트라","SR","지원형","3","7","30","10","10","10","0.00","0.00","206.79","0.00","32.88","0.00","11.81","5.00","11.81","SR 15","","","10","5","장탄","68.93","크댐","16.44","","","10","5","차댐","11.81","","","","","10","4","크댐","16.44","","","장탄","68.93","10","0","장탄","68.93","방어","11.81","차속","4.92","370","225","224","225","228","228","228","263","220"
"사쿠라 : 블룸 인 서머","591935","36350","풍압","버스트3","테트라","AR","화력형","3","0","30","7","8","8","99.83","19.40","80.34","0.00","0.00","0.00","0.00","0.00","0.00","SR 5","","","10","5","공증","9.00","우코","20.75","","","10","0","우코","27.76","","","장탄","36.06","10","5","공증","10.40","우코","26.36","장탄","44.28","10","0","우코","24.96","","","","","370","225","224","225","228","228","228","263","220"
"렘","442501","16946","수냉","버스트2","어브노멀","MG","지원형","3","0","30","4","4","4","0.00","0.00","68.93","5.71","0.00","11.81","11.81","0.00","0.00","R 0","","","10","0","명중","11.81","","","크확","5.71","10","0","장탄","68.93","","","차댐","11.81","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"퀀시 : 이스케이프 퀸","691049","40273","수냉","버스트3","미실리스","SMG","화력형","3","7","30","10","10","10","58.05","19.40","125.53","3.66","22.10","10.40","0.00","0.00","0.00","SR 5","","","10","5","우코","16.55","장탄","68.93","크확","3.66","10","0","우코","22.15","명중","10.40","","","10","3","장탄","56.60","공증","9.00","크댐","10.56","10","0","우코","19.35","공증","10.40","크댐","11.54","370","225","224","225","228","228","228","263","220"
"율하","425689","11596","작열","버스트3","테트라","SR","화력형","3","7","30","4","5","4","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"아인","671913","47021","전격","버스트3","미실리스","SR","화력형","3","7","30","10","10","10","85.80","18.70","52.50","5.28","0.00","0.00","0.00","0.00","4.77","SR 15","","","10","5","장탄","52.50","","","우코","22.15","10","4","크확","2.30","우코","20.75","","","10","5","우코","22.15","방어","4.77","공증","7.59","10","0","공증","11.11","우코","20.75","크확","2.98","370","225","224","225","228","228","228","263","220"
"D : 킬러 와이프","646273","35718","작열","버스트1","엘리시온","SR","지원형","3","7","30","10","10","10","70.68","0.00","137.86","0.00","0.00","0.00","11.81","0.00","0.00","SR 5","","","10","0","장탄","68.93","","","","","10","0","우코","23.56","장탄","68.93","","","10","0","우코","23.56","차댐","11.81","","","10","0","우코","23.56","","","","","370","225","224","225","228","228","228","263","220"
"하란","404601","11504","전격","버스트3","필그림","SR","화력형","3","7","40","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"밀크","369086","10014","수냉","버스트1","테트라","SR","화력형","3","4","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"질","490298","27441","전격","버스트3","어브노멀","AR","화력형","0","0","10","7","7","7","10.94","25.57","125.53","0.00","0.00","0.00","0.00","3.00","10.95","SR 5","","","10","0","장탄","68.93","공증","11.81","","","10","0","우코","10.94","방어","6.18","","","10","0","방어","4.77","장탄","56.60","공증","5.47","10","0","차속","2.57","","","공증","8.29","370","225","224","225","228","228","228","263","220"
"신","350017","9274","전격","버스트2","미실리스","AR","방어형","3","0","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"베스티","422344","11998","수냉","버스트3","엘리시온","RL","화력형","3","7","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","택티컬 어설트 큐브","8","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"타키나","488020","22490","철갑","버스트2","어브노멀","SR","지원형","0","0","10","7","10","10","23.56","11.81","68.93","0.00","0.00","11.81","0.00","5.00","0.00","R 0","","","10","0","공증","11.81","","","","","10","0","장탄","68.93","","","","","10","0","명중","11.81","차속","4.92","","","10","0","우코","23.56","","","","","370","225","224","225","228","228","228","263","220"
"프리카","667828","52110","수냉","버스트2","테트라","SR","지원형","3","0","30","10","10","10","23.56","23.62","0.00","5.71","16.44","0.00","11.81","5.00","23.62","SR 15","렐릭 베어 큐브","15","10","5","우코","23.56","크댐","16.44","","","10","0","크확","5.71","차댐","11.81","","","10","2","방어","11.81","공증","11.81","","","10","0","공증","11.81","차속","4.92","방어","11.81","370","225","224","225","228","228","228","263","220"
"에이드 : 에이전트 바니","678323","47171","철갑","버스트2","테트라","SR","지원형","3","5","30","10","10","10","47.12","11.81","0.00","0.00","32.88","0.00","0.00","5.00","23.62","SR 15","","","10","5","우코","23.56","","","방어","11.81","10","1","방어","11.81","","","","","10","3","우코","23.56","크댐","16.44","","","10","0","차속","4.92","공증","11.81","크댐","16.44","370","225","224","225","228","228","228","263","220"
"길로틴 : 윈터 슬레이어","545568","30526","수냉","버스트3","엘리시온","AR","화력형","3","1","30","9","7","9","23.56","0.00","63.90","8.69","26.02","0.00","4.77","0.00","0.00","SR 5","","","10","0","장탄","36.06","크댐","11.54","","","10","0","우코","23.56","크확","5.71","","","10","0","크댐","14.48","크확","2.98","","","10","0","장탄","27.84","","","차댐","4.77","370","225","224","225","228","228","228","263","220"
"신데렐라 : 크리스탈 웨이브","744051","57523","철갑","버스트3","필그림","MG","화력형","3","3","40","10","10","10","104.03","40.20","73.04","0.00","43.44","0.00","0.00","0.00","0.00","SR 15","","","10","5","우코","23.56","크댐","14.48","공증","11.81","10","5","공증","9.70","우코","22.15","크댐","14.48","10","5","우코","29.16","공증","8.29","크댐","14.48","10","5","공증","10.40","우코","29.16","장탄","73.04","370","225","224","225","228","228","228","263","220"
"프로덕트 23","246522","7846","풍압","버스트2","미실리스","SG","지원형","0","0","1","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0","0","","","","","","","0","0","","","","","","","0","0","","","","","","","0","0","","","","","","","370","225","224","225","228","228","228","263","220"
"나가","662363","44183","전격","버스트2","미실리스","SG","지원형","3","7","30","10","10","10","23.56","0.00","68.93","17.13","0.00","0.00","0.00","0.00","7.59","SR 15","","","10","5","크확","5.71","","","","","10","2","방어","7.59","","","","","10","2","장탄","68.93","크확","5.71","","","10","1","우코","23.56","크확","5.71","","","370","225","224","225","228","228","228","263","220"
"앤 : 미라클 페어리","415044","11957","풍압","버스트2","미실리스","RL","지원형","3","0","30","4","4","7","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","렐릭 부스트 큐브","8","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"신데렐라","757362","60479","전격","버스트3","필그림","RL","방어형","3","4","40","10","10","10","84.40","31.22","125.54","3.66","12.52","0.00","0.00","0.00","8.29","SR 15","렐릭 베어 큐브","15","10","5","우코","22.15","장탄","85.37","방어","8.29","10","5","우코","20.75","공증","9.00","장탄","40.17","10","5","우코","19.35","크댐","12.52","공증","13.93","10","5","크확","3.66","공증","8.29","우코","22.15","370","225","224","225","228","228","228","263","220"
"레이","574054","36684","작열","버스트3","어브노멀","MG","화력형","0","0","10","7","10","7","72.07","18.69","81.26","5.71","10.56","0.00","0.00","0.00","0.00","SR 5","택티컬 베어 큐브","15","10","0","공증","6.88","","","우코","26.36","10","0","우코","22.15","","","","","10","0","우코","23.56","크확","5.71","","","10","0","장탄","81.26","크댐","10.56","공증","11.81","370","225","224","225","228","228","228","263","220"
"네베","284554","8467","수냉","버스트3","테트라","SG","화력형","2","0","12","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"iDoll 오션","240246","7818","수냉","버스트1","테트라","SMG","지원형","0","0","1","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0","0","","","","","","","0","0","","","","","","","0","0","","","","","","","0","0","","","","","","","370","225","224","225","228","228","228","263","220"
"iDoll 썬","249057","7857","철갑","버스트3","테트라","AR","지원형","0","0","1","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0","0","","","","","","","0","0","","","","","","","0","0","","","","","","","0","0","","","","","","","370","225","224","225","228","228","228","263","220"
"N102","292507","8564","수냉","버스트1","미실리스","RL","지원형","2","0","15","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"엠마","383832","10009","작열","버스트1","엘리시온","MG","지원형","3","7","18","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"트리나","699985","37480","전격","버스트2","미실리스","RL","지원형","3","7","30","4","7","7","0.00","11.81","68.93","17.13","0.00","35.43","11.81","5.00","0.00","SR 5","","","10","0","공증","11.81","명중","11.81","","","10","0","명중","11.81","차댐","11.81","크확","5.71","10","0","크확","5.71","차속","4.92","","","10","0","명중","11.81","크확","5.71","장탄","68.93","370","225","224","225","228","228","228","263","220"
"루피 : 윈터 쇼퍼","350017","9274","전격","버스트1","테트라","AR","방어형","3","0","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"쿠루미","283654","9062","철갑","버스트1","어브노멀","AR","지원형","2","0","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"트로니","388480","9785","작열","버스트3","미실리스","SR","화력형","3","7","12","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"마르차나","434237","16920","철갑","버스트2","엘리시온","SG","지원형","3","7","30","4","4","4","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 6","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"아리아","389003","10569","수냉","버스트2","테트라","MG","화력형","3","7","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"브래디","736067","55382","수냉","버스트3","테트라","SR","화력형","3","7","30","10","10","10","91.42","0.00","68.93","4.69","0.00","0.00","9.70","4.00","0.00","SR 15","렐릭 베어 큐브","15","10","5","우코","23.56","크확","4.69","차댐","9.70","10","5","장탄","68.93","우코","23.56","","","10","5","우코","22.15","","","","","10","0","우코","22.15","차속","4.04","","","370","225","224","225","228","228","228","263","220"
"스노우 화이트 : 헤비암즈","705361","56982","수냉","버스트3","필그림","SR","화력형","3","3","40","10","10","10","98.43","39.51","0.00","0.00","0.00","0.00","0.00","2.00","6.18","SR 15","렐릭 베어 큐브","15","10","5","우코","19.35","공증","12.52","","","10","5","공증","9.70","","","우코","26.36","10","5","우코","24.96","방어","6.18","공증","8.29","10","0","차속","2.28","우코","27.76","공증","9.00","370","225","224","225","228","228","228","263","220"
"디젤 : 윈터 스위츠","666193","47954","작열","버스트3","엘리시온","RL","화력형","3","0","30","10","10","10","87.20","22.22","85.37","11.42","0.00","0.00","0.00","0.00","0.00","SR 15","","","10","5","우코","22.15","장탄","85.37","공증","7.59","10","1","우코","22.15","크확","7.07","","","10","5","크확","4.35","우코","20.75","","","10","0","우코","22.15","","","공증","14.63","370","225","224","225","228","228","228","263","220"
"소다","377329","10135","작열","버스트1","테트라","MG","지원형","3","6","25","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"토브","724221","52781","수냉","버스트1","미실리스","AR","지원형","3","7","30","10","10","10","47.12","0.00","109.10","4.35","10.56","7.59","11.81","0.00","0.00","애장품 ★★★","택티컬 베어 큐브","15","10","5","크댐","10.56","","","크확","4.35","10","5","명중","7.59","","","장탄","40.17","10","5","장탄","68.93","우코","23.56","","","10","0","우코","23.56","차댐","11.81","","","370","225","224","225","228","228","228","263","220"
"길로틴","529659","24320","전격","버스트3","엘리시온","MG","화력형","3","7","30","1","1","1","0.00","0.00","251.07","5.71","0.00","11.81","0.00","0.00","11.81","R 0","","","10","2","방어","11.81","","","장탄","68.93","10","0","장탄","44.28","","","","","10","1","장탄","68.93","크확","5.71","","","10","0","장탄","68.93","","","명중","11.81","370","225","224","225","228","228","228","263","220"
"디젤","442688","21085","풍압","버스트2","엘리시온","MG","방어형","3","7","30","4","4","4","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","애장품 ★★★","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"얀","369339","9090","작열","버스트1","테트라","RL","지원형","3","3","11","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"일레그 : 붐 앤 쇼크","638282","46734","수냉","버스트3","미실리스","MG","화력형","3","0","30","10","10","10","63.66","29.09","64.82","5.37","15.46","16.58","0.00","0.00","0.00","SR 15","","","10","5","크확","5.37","우코","17.95","공증","10.40","10","1","장탄","64.82","공증","11.81","크댐","15.46","10","3","명중","11.81","우코","23.56","","","10","0","명중","4.77","우코","22.15","공증","6.88","370","225","224","225","228","228","228","263","220"
"센티","661016","41390","철갑","버스트2","미실리스","RL","방어형","3","7","30","7","7","4","23.56","0.00","137.86","0.00","16.44","23.62","0.00","0.00","23.62","애장품 ★★★","","","10","0","우코","23.56","장탄","68.93","명중","11.81","10","0","방어","11.81","","","","","10","0","명중","11.81","","","","","10","0","크댐","16.44","방어","11.81","장탄","68.93","370","225","224","225","228","228","228","263","220"
"슈가","687039","47008","철갑","버스트3","테트라","SG","화력형","3","5","30","10","10","10","73.47","10.40","68.01","5.03","0.00","0.00","0.00","0.00","4.77","애장품 ★★★","택티컬 베어 큐브","15","10","0","우코","23.56","","","","","10","0","방어","4.77","우코","20.75","","","10","0","장탄","31.95","우코","29.16","","","10","0","크확","5.03","장탄","36.06","공증","10.40","370","225","224","225","228","228","228","263","220"
"차임","456427","15229","철갑","버스트2","필그림","SMG","지원형","3","7","40","1","1","1","23.56","11.81","0.00","0.00","0.00","0.00","0.00","0.00","11.81","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","10","0","우코","23.56","방어","11.81","공증","11.81","370","225","224","225","228","228","228","263","220"
"도로시","566346","32165","수냉","버스트1","필그림","AR","지원형","3","7","40","1","1","1","60.60","19.40","0.00","0.00","0.00","0.00","0.00","6.00","19.40","SR 5","","","10","3","우코","15.15","","","","","10","0","방어","10.40","우코","15.15","공증","5.47","10","0","공증","13.93","우코","15.15","","","10","0","차속","6.09","우코","15.15","방어","9.00","370","225","224","225","228","228","228","263","220"
