"이름","전투력","협투력","속성","버스트","기업","무기","클래스","돌파","코강","호감도","스킬1","스킬2","버스트스킬","우코(%)","공증(%)","장탄(%)","크확(%)","크댐(%)","명중(%)","차댐(%)","차속(%)","방어(%)","소장품","큐브","큐브_레벨","머리_티어","머리_레벨","머리_옵1","머리_옵1값","머리_옵2","머리_옵2값","머리_옵3","머리_옵3값","몸통_티어","몸통_레벨","몸통_옵1","몸통_옵1값","몸통_옵2","몸통_옵2값","몸통_옵3","몸통_옵3값","장갑_티어","장갑_레벨","장갑_옵1","장갑_옵1값","장갑_옵2","장갑_옵2값","장갑_옵3","장갑_옵3값","다리_티어","다리_레벨","다리_옵1","다리_옵1값","다리_옵2","다리_옵2값","다리_옵3","다리_옵3값","콘솔_공용","콘솔_화력형","콘솔_방어형","콘솔_지원형","콘솔_엘리시온","콘솔_미실리스","콘솔_테트라","콘솔_필그림","콘솔_어브노멀"
"질","489749","27441","전격","버스트3","어브노멀","AR","화력형","0","0","10","7","7","7","10.94","25.57","125.53","0.00","0.00","0.00","0.00","3.00","10.95","SR 5","","","10","0","장탄","68.93","공증","11.81","","","10","0","우코","10.94","방어","6.18","","","10","0","방어","4.77","장탄","56.60","공증","5.47","10","0","차속","2.57","","","공증","8.29","370","225","224","224","227","227","228","263","220"
"에이다","526394","38421","전격","버스트3","어브노멀","RL","화력형","0","0","10","10","10","7","78.81","0.00","0.00","0.00","21.12","0.00","0.00","3.00","0.00","SR 15","","","10","5","크댐","11.54","우코","20.75","","","10","3","우코","23.56","","","","","10","4","우코","17.95","차속","2.57","","","10","0","크댐","9.58","우코","16.55","","","370","225","224","224","227","227","228","263","220"
"킬로","333380","8668","작열","버스트3","미실리스","MG","방어형","3","0","16","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"디젤 : 윈터 스위츠","665438","47933","작열","버스트3","엘리시온","RL","화력형","3","0","30","10","10","10","87.20","22.22","85.37","11.42","0.00","0.00","0.00","0.00","0.00","SR 15","","","10","5","우코","22.15","장탄","85.37","공증","7.59","10","1","우코","22.15","크확","7.07","","","10","5","크확","4.35","우코","20.75","","","10","0","우코","22.15","","","공증","14.63","370","225","224","224","227","227","228","263","220"
"A2","487570","22094","작열","버스트3","어브노멀","RL","화력형","3","0","30","4","5","5","88.62","0.00","0.00","0.00","0.00","6.18","6.18","0.00","0.00","R 0","","","10","0","우코","23.56","","","","","10","0","우코","23.56","","","","","10","0","우코","20.75","명중","6.18","차댐","6.18","10","0","우코","20.75","","","","","370","225","224","224","227","227","228","263","220"
"마르차나 : 마린 스터디","693765","50037","철갑","버스트3","엘리시온","AR","화력형","3","1","29","10","10","10","94.22","38.26","0.00","2.64","14.48","5.47","6.18","3.00","0.00","SR 15","","","10","5","차댐","6.18","공증","13.93","우코","17.95","10","4","우코","19.35","크확","2.64","차속","2.86","10","5","명중","5.47","공증","13.22","우코","27.76","10","0","우코","29.16","공증","11.11","크댐","14.48","370","225","224","224","227","227","228","263","220"
"키리","397535","10074","풍압","버스트3","엘리시온","RL","지원형","3","7","19","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"앵커 : 이노센트 메이드","693217","47534","수냉","버스트2","엘리시온","RL","지원형","3","7","30","10","10","10","42.91","5.47","0.00","8.01","0.00","19.40","9.70","0.00","18.69","SR 15","","","10","5","크확","3.32","우코","19.35","","","10","5","명중","7.59","공증","5.47","","","10","5","명중","11.81","우코","23.56","방어","11.81","10","0","크확","4.69","차댐","9.70","방어","6.88","370","225","224","224","227","227","228","263","220"
"미카","280397","8483","풍압","버스트1","테트라","RL","지원형","2","0","13","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"마스트","441308","12815","전격","버스트2","엘리시온","SMG","지원형","3","7","28","4","4","4","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","택티컬 부스트 큐브","8","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"루드밀라 : 윈터 오너","589853","38979","수냉","버스트3","테트라","MG","화력형","3","0","30","10","7","9","90.01","21.52","113.21","0.00","0.00","4.77","0.00","0.00","4.77","SR 5","","","10","5","우코","22.15","명중","4.77","장탄","36.06","10","5","우코","19.35","장탄","77.15","공증","12.52","10","5","우코","29.16","공증","9.00","","","10","0","방어","4.77","우코","19.35","","","370","225","224","224","227","227","228","263","220"
"2B","356412","9368","작열","버스트3","어브노멀","AR","방어형","3","1","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"블랑","735674","42540","풍압","버스트2","테트라","AR","방어형","3","7","30","4","7","10","47.12","0.00","68.93","0.00","49.32","11.81","0.00","5.00","11.81","SR 5","렐릭 디스트로이 큐브","11","10","4","크댐","16.44","방어","11.81","명중","11.81","10","0","장탄","68.93","우코","23.56","차속","4.92","10","0","우코","23.56","","","크댐","16.44","10","0","크댐","16.44","","","","","370","225","224","224","227","227","228","263","220"
"폴크방","427164","11741","수냉","버스트2","테트라","AR","방어형","3","7","11","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","렐릭 디스트로이 큐브","11","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"쿠루미","283322","9050","철갑","버스트1","어브노멀","AR","지원형","2","0","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"아스카","627609","39936","작열","버스트3","어브노멀","AR","화력형","3","0","30","10","10","10","73.47","17.99","92.66","0.00","0.00","17.29","8.29","0.00","5.47","SR 5","","","10","5","차댐","8.29","우코","23.56","공증","6.18","10","5","명중","9.70","장탄","56.60","공증","11.81","10","5","우코","22.15","명중","7.59","장탄","36.06","10","0","우코","27.76","방어","5.47","","","370","225","224","224","227","227","228","263","220"
"에테르","276271","8355","전격","버스트1","미실리스","SG","방어형","2","0","10","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"은화 : 택티컬 업","633361","28324","작열","버스트2","엘리시온","SR","화력형","3","7","30","7","7","7","23.56","0.00","68.93","0.00","0.00","11.81","0.00","10.00","35.43","R 0","","","10","0","차속","4.92","","","","","10","0","방어","11.81","","","장탄","68.93","10","0","차속","4.92","방어","11.81","","","10","0","우코","23.56","명중","11.81","방어","11.81","370","225","224","224","227","227","228","263","220"
"앤 : 미라클 페어리","414544","11930","풍압","버스트2","미실리스","RL","지원형","3","0","30","4","4","7","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","렐릭 부스트 큐브","8","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"베스티","421848","11985","수냉","버스트3","엘리시온","RL","화력형","3","7","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","택티컬 어설트 큐브","8","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"누아르","589253","25885","풍압","버스트3","테트라","SG","화력형","3","7","30","7","9","4","22.15","11.81","68.93","0.00","14.48","11.81","0.00","0.00","11.81","R 0","","","10","0","방어","11.81","","","","","10","0","명중","11.81","","","","","10","1","장탄","68.93","","","공증","11.81","10","0","우코","22.15","크댐","14.48","","","370","225","224","224","227","227","228","263","220"
"스노우 화이트","688976","52437","철갑","버스트3","필그림","AR","화력형","3","3","40","4","7","10","81.60","25.04","0.00","5.37","22.10","6.18","0.00","0.00","0.00","SR 15","렐릭 디스트로이 큐브","11","10","5","크댐","15.46","명중","6.18","우코","22.15","10","5","우코","19.35","크댐","6.64","","","10","5","우코","17.95","공증","12.52","","","10","0","크확","5.37","우코","22.15","공증","12.52","370","225","224","224","227","227","228","263","220"
"로산나","684076","29124","전격","버스트1","테트라","MG","화력형","3","7","30","7","7","7","0.00","0.00","137.86","5.71","16.44","11.81","11.81","15.00","0.00","애장품 ★☆☆","","","10","0","장탄","68.93","차속","4.92","","","10","0","차속","4.92","명중","11.81","","","10","0","차댐","11.81","장탄","68.93","차속","4.92","10","0","크확","5.71","크댐","16.44","","","370","225","224","224","227","227","228","263","220"
"니힐리스타","322346","8397","작열","버스트2","필그림","SR","화력형","0","0","8","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"라피 : 레드 후드","825935","66524","작열","버스트3","엘리시온","MG","화력형","3","4","40","10","10","10","113.84","48.66","194.47","0.00","11.54","0.00","0.00","0.00","0.00","SR 15","렐릭 베어 큐브","15","10","5","장탄","48.39","공증","13.93","우코","29.16","10","5","우코","26.36","공증","10.40","크댐","11.54","10","5","공증","9.70","장탄","81.26","우코","29.16","10","5","공증","14.63","우코","29.16","장탄","64.82","370","225","224","224","227","227","228","263","220"
"솔져 F.A.","243892","7814","철갑","버스트2","엘리시온","SG","방어형","0","0","1","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0","0","","","","","","","0","0","","","","","","","0","0","","","","","","","0","0","","","","","","","370","225","224","224","227","227","228","263","220"
"소다 : 트윙클링 바니","759115","50960","철갑","버스트3","테트라","SG","화력형","3","7","30","10","10","10","95.63","17.28","27.84","0.00","0.00","11.81","11.81","0.00","0.00","SR 15","택티컬 베어 큐브","15","10","0","우코","23.56","공증","11.81","차댐","11.81","10","0","우코","22.15","","","공증","5.47","10","0","장탄","27.84","우코","26.36","","","10","0","우코","23.56","명중","11.81","","","370","225","224","224","227","227","228","263","220"
"벨벳","590886","33227","풍압","버스트2","테트라","SR","지원형","3","5","30","7","10","7","23.56","0.00","68.93","0.00","0.00","0.00","23.62","5.00","11.81","SR 5","","","10","0","방어","11.81","차댐","11.81","","","10","0","차댐","11.81","","","","","10","0","차속","4.92","장탄","68.93","","","10","0","우코","23.56","","","","","370","225","224","224","227","227","228","263","220"
"레이 (가칭)","594227","33468","풍압","버스트3","어브노멀","AR","화력형","3","0","30","7","7","7","62.25","32.62","80.34","0.00","27.98","0.00","0.00","0.00","6.18","SR 5","","","10","0","크댐","19.38","우코","22.15","공증","11.81","10","0","우코","17.95","장탄","36.06","","","10","0","공증","9.70","방어","6.18","우코","22.15","10","0","크댐","8.60","장탄","44.28","공증","11.11","370","225","224","224","227","227","228","263","220"
"크라운","673109","55775","철갑","버스트2","필그림","MG","방어형","3","4","40","10","10","10","41.51","11.81","68.93","0.00","32.88","0.00","0.00","7.00","0.00","SR 15","렐릭 베어 큐브","15","10","5","차속","2.28","","","우코","17.95","10","5","공증","11.81","크댐","16.44","차속","4.92","10","5","장탄","68.93","크댐","16.44","","","10","5","우코","23.56","","","","","370","225","224","224","227","227","228","263","220"
"일레그 : 붐 앤 쇼크","637557","46713","수냉","버스트3","미실리스","MG","화력형","3","0","30","10","10","10","63.66","29.09","64.82","5.37","15.46","16.58","0.00","0.00","0.00","SR 15","","","10","5","크확","5.37","우코","17.95","공증","10.40","10","1","장탄","64.82","공증","11.81","크댐","15.46","10","3","명중","11.81","우코","23.56","","","10","0","명중","4.77","우코","22.15","공증","6.88","370","225","224","224","227","227","228","263","220"
"신","349608","9263","전격","버스트2","미실리스","AR","방어형","3","0","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"라피","285915","8572","작열","버스트3","엘리시온","AR","화력형","2","0","15","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"레드 후드","672985","49964","철갑","ALL","필그림","SR","화력형","3","7","40","10","10","10","81.60","19.40","63.90","5.62","10.56","0.00","0.00","0.00","0.00","SR 15","","","10","5","우코","22.15","크확","2.98","장탄","31.95","10","5","우코","19.35","장탄","31.95","크확","2.64","10","5","공증","11.11","우코","20.75","크댐","10.56","10","5","공증","8.29","우코","19.35","","","370","225","224","224","227","227","228","263","220"
"에밀리아","578040","26305","수냉","버스트3","어브노멀","RL","화력형","3","0","30","7","7","7","47.12","0.00","68.93","11.42","32.88","11.81","0.00","0.00","0.00","R 0","","","10","0","크댐","16.44","크확","5.71","우코","23.56","10","0","우코","23.56","","","","","10","0","크확","5.71","명중","11.81","","","10","0","장탄","68.93","","","크댐","16.44","370","225","224","224","227","227","228","263","220"
"에피넬","390711","10423","풍압","버스트3","미실리스","SMG","화력형","3","7","27","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","1","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"앨리스","773891","59457","작열","버스트3","테트라","SR","화력형","3","7","30","10","4","10","87.21","9.00","173.92","0.00","0.00","0.00","0.00","15.00","0.00","SR 15","렐릭 베어 큐브","15","10","5","우코","20.75","장탄","36.06","","","10","5","공증","9.00","차속","3.75","우코","24.96","10","5","차속","5.21","우코","19.35","장탄","60.71","10","5","차속","6.09","우코","22.15","장탄","77.15","370","225","224","224","227","227","228","263","220"
"아니스 : 스타","721980","59675","전격","버스트1","테트라","RL","방어형","3","0","40","10","10","10","97.03","29.10","52.50","0.00","47.36","0.00","0.00","0.00","5.47","SR 15","렐릭 베어 큐브","15","10","5","우코","26.36","크댐","20.36","공증","7.59","10","5","공증","9.70","우코","19.35","방어","5.47","10","5","크댐","18.40","공증","11.81","우코","27.76","10","5","장탄","52.50","우코","23.56","크댐","8.60","370","225","224","224","227","227","228","263","220"
"델타","266598","8450","풍압","버스트2","엘리시온","SR","방어형","2","0","14","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"드레이크","768020","54545","작열","버스트3","미실리스","SG","화력형","3","7","30","10","10","10","87.20","25.74","81.26","0.00","0.00","0.00","0.00","4.00","0.00","애장품 ★★★","택티컬 베어 큐브","15","10","5","우코","22.15","","","공증","11.11","10","1","우코","22.15","","","차속","3.75","10","3","공증","14.63","","","우코","22.15","10","0","우코","20.75","","","장탄","81.26","370","225","224","224","227","227","228","263","220"
"모리","355775","8756","풍압","버스트2","미실리스","AR","방어형","3","1","12","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"네로","582157","33103","작열","버스트2","테트라","SMG","방어형","3","7","30","7","4","4","0.00","11.81","68.93","0.00","44.42","0.00","0.00","0.00","16.58","SR 5","렐릭 템퍼링 큐브","6","10","0","공증","11.81","","","","","10","0","크댐","16.44","방어","11.81","","","10","0","방어","4.77","크댐","11.54","","","10","0","크댐","16.44","장탄","68.93","","","370","225","224","224","227","227","228","263","220"
"K","348575","8784","전격","버스트3","엘리시온","SMG","화력형","3","1","13","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"리틀 머메이드","697026","51680","풍압","버스트1","필그림","SMG","지원형","3","5","40","10","10","10","94.22","29.10","0.00","0.00","0.00","20.81","0.00","0.00","6.88","SR 15","","","10","5","공증","6.88","우코","24.96","","","10","5","우코","27.76","방어","6.88","공증","11.11","10","5","우코","20.75","명중","9.70","공증","11.11","10","0","명중","11.11","","","우코","20.75","370","225","224","224","227","227","228","263","220"
"라푼젤","619032","42368","철갑","버스트1","필그림","RL","지원형","3","3","40","7","5","6","0.00","23.62","0.00","0.00","16.44","11.81","11.81","5.00","23.62","R 5","택티컬 부스트 큐브","8","10","5","공증","11.81","","","명중","11.81","10","5","차댐","11.81","차속","4.92","방어","11.81","10","4","방어","11.81","","","","","10","2","공증","11.81","크댐","16.44","","","370","225","224","224","227","227","228","263","220"
"은화","380113","9525","작열","버스트2","엘리시온","SR","화력형","3","6","10","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"모더니아","733523","51610","작열","버스트3","필그림","MG","화력형","3","7","40","10","10","10","87.20","21.51","145.16","3.66","7.62","0.00","0.00","0.00","0.00","SR 5","택티컬 베어 큐브","15","10","5","장탄","40.17","우코","22.15","공증","10.40","10","5","장탄","44.28","우코","22.15","","","10","5","크확","3.66","장탄","60.71","우코","22.15","10","5","크댐","7.62","공증","11.11","우코","20.75","370","225","224","224","227","227","228","263","220"
"백학","353357","9151","수냉","버스트2","미실리스","SR","방어형","3","3","15","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"라이","335534","8482","수냉","버스트1","테트라","SMG","방어형","3","0","10","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"얀","368903","9078","작열","버스트1","테트라","RL","지원형","3","3","11","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"클레이","373314","10172","전격","버스트2","테트라","SMG","지원형","3","5","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"미카 : 스노우 버디","338503","8703","철갑","버스트1","테트라","SMG","지원형","3","0","16","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"나유타","695020","52605","풍압","버스트2","필그림","SMG","지원형","3","3","40","10","10","10","101.23","25.58","117.32","2.30","0.00","0.00","14.63","0.00","0.00","SR 15","","","10","5","우코","29.16","크확","2.30","공증","8.29","10","5","차댐","14.63","우코","24.96","","","10","5","공증","11.11","우코","22.15","장탄","36.06","10","0","장탄","81.26","공증","6.18","우코","24.96","370","225","224","224","227","227","228","263","220"
"크러스트","363608","9653","수냉","버스트2","테트라","RL","지원형","3","2","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"홍련 : 흑영","758464","53622","풍압","버스트3","필그림","RL","화력형","3","7","40","10","7","10","99.83","31.21","40.17","0.00","0.00","0.00","0.00","9.00","6.18","SR 15","","","10","5","우코","29.16","공증","9.70","차속","5.80","10","5","공증","11.81","차속","2.57","우코","23.56","10","5","우코","22.15","공증","9.70","방어","6.18","10","0","우코","24.96","장탄","40.17","","","370","225","224","224","227","227","228","263","220"
"아르카나 : 포츈 메이트","706626","51245","작열","버스트2","엘리시온","SG","화력형","3","5","30","10","10","10","87.21","12.36","40.17","5.03","14.48","0.00","0.00","0.00","0.00","SR 15","택티컬 베어 큐브","15","10","5","우코","19.35","크확","5.03","장탄","40.17","10","1","우코","19.35","공증","6.18","","","10","3","크댐","14.48","","","우코","20.75","10","0","우코","27.76","공증","6.18","","","370","225","224","224","227","227","228","263","220"
"로산나 : 시크 오션","591597","33561","풍압","버스트2","테트라","AR","지원형","3","0","30","7","10","10","0.00","11.81","0.00","5.71","0.00","11.81","11.81","5.00","23.62","SR 5","","","10","0","차속","4.92","","","","","10","0","명중","11.81","방어","11.81","크확","5.71","10","0","방어","11.81","","","","","10","0","공증","11.81","차댐","11.81","","","370","225","224","224","227","227","228","263","220"
"소라","356055","8828","풍압","버스트1","엘리시온","RL","지원형","3","1","14","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"브리드 : 사일런트 트랙","582186","40567","작열","버스트2","엘리시온","SG","지원형","3","0","30","10","10","10","83.00","0.00","27.84","0.00","7.62","15.88","0.00","3.00","0.00","SR 15","","","10","5","우코","22.15","명중","4.77","","","10","0","우코","22.15","명중","11.11","","","10","0","차속","3.16","크댐","7.62","우코","20.75","10","0","장탄","27.84","우코","17.95","","","370","225","224","224","227","227","228","263","220"
